Asset,Minimum,Fee
AAVE,0.12,0.012
ADA,2,0.6
ALGO,1,0.01
ANKR,360,140
ANT,4,0.95
ATOM,1,0.1
AXS,12,6
BAL,0.4,0.025
BAT,10,4
BCH,0.001,0.0001
BNT,8,3
BTC,0.0005,0.00015
CHZ,160,80
COMP,0.025,0.01
CQT,10,5
CRV,3,0.25
DAI,5,2.5
DASH (instant send),0.05,0.01
DASH (normal send),0.01,0.005
DOGE,50,2
DOT,1.05,0.05
ENJ,25,6
EOS,0.5,0.05
ETC,0.01,0.005
ETH,0.004,0.0017
EWT,1,0.26
FIL,0.1,0.001
FLOW,1,0.01
GHST,100,60
GNO,0.01,0.005
GRT,220,22
ICX,0.03,0.02
KAVA,1,0.1
KEEP,40,10
KNC,5,1
KSM,0.0105,0.005
LINK,1.4,0.12
LPT,1.6,0.6
LSK,1,0.3
LTC,0.01,0.001
MANA,120,12
MATIC,120,60
MINA,1.05,0.05
MKR,0.013,0.0052
MLN,0.1,0.003
NANO,0.1,0.05
OCEAN,23,22
OGN,50,25
OMG,1,0.7
OXT,10,3
PAXG ,0.005,0.0025*
PERP,4,2
QTUM,0.1,0.1
RARI,3,1
REN,60,20
REP,0.05,0.01
REPV2,0.03,0.1
SAND,100,38
SC,2,1
SNX,2,0.2
SOL,0.02,0.01
SRM,0.2,0.2
STORJ,10,6
SUSHI,4,1.5
TBTC,0.0008,0.00015
TRX,2,0.01
UNI,2.2,0.6
USDC,5,2.5
USDT (ERC20),5,2.5
USDT (OMNI),10,5
USDT (TRC20),2,1
WAVES,0.01,0.003
XLM,25,0.00002
XMR,0.01,0.0001
XRP,25,0.02
XTZ,0.3,0.2
YFI,0.0005,0.00013
ZEC (Private),0.02,0.01
ZEC (Transparent),0.0005,0.0001
ZRX,15,1.5